SMILES,InChIKey,Gene Name,UNIPROT_AC,Binding Affinity (-log10)
CC(C)C1=CC=C(C=C1)NC2=NC3=CC=CC=C3N4C2=NN=N4,AGAFBFBLFFSDKG-UHFFFAOYSA-N,PARP11,Q9NR21,5.300000202
C1CN(C(C2=C1N=C3N2C=CS3)C4=C(N=CC=C4)F)C(=O)COC5=C(N=C(C=C5)CN6CCOCC6)Cl,NINXDXTWYUUIMB-UHFFFAOYSA-N,TPH1,P17752,6.628932138
CNCC1=C(C=CC(=C1)Br)OC2=CC=C(C=C2)SC,MFIMYVJYQZCFGS-UHFFFAOYSA-N,SLC6A4,P31645,8.769551079
C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,HFNKQEVNSGCOJV-OAHLLOKOSA-N,ACAD11,Q709F0,4.522878745
CC1(CC2=C(CO1)SC(=C2C(=O)O)NC(=S)NC(=O)C3=CC=C(C=C3)F)C,ABHXPRVOHKAVNP-UHFFFAOYSA-N,RAB7A,P51149,7.022276395
C1CC(C1)(C2=NC=C(C=C2)C3=CN=C(N=C3)N)C4=NOC(=N4)C5=CNN=C5,OGSUXRZOULCZGM-UHFFFAOYSA-N,ALOX5AP,P20292,7.337242168
CC1=CC(=C(N=C1)COC2=CC3=C(C=C2)N=C(N3CC4=C(C=C(C=C4)OC(F)(F)F)F)CC(C)(C)C(=O)O)F,KEVINKZFHBJVDJ-UHFFFAOYSA-N,ALOX5AP,P20292,7.619788758
CC1=NOC(=N1)C2=C(SC3=C2CCCC3)NC(=O)CC(C)(C)C(=O)O,CUNWOAUFPNUVBM-UHFFFAOYSA-N,FABP4,P15090,5.982966661
CC1=CC=C(C=C1)OC(C2CNC2)C3=CC(=C(C=C3)Cl)Cl,XWYMOFXPTGWSON-UHFFFAOYSA-N,SLC6A2,P23975,7.567030709
CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)OC(=O)[C@H](C)N)C,LTEJRLHKIYCEOX-OCCSQVGLSA-N,PHKG2,P15735,4.522878745
C[C@]12CC[C@H]3[C@H]([C@@H]1C/C(=C\C4=CN=CC=C4)/[C@@H]2O)CC[C@@H]5[C@@]3(C=CC(=O)N5C)C,UMXDCWKYQFLOJM-NUPZHGKZSA-N,KCNH2,Q12809,5.443697499
CCCN(CCC1=CC(=C(C=C1)Cl)Cl)CC(C2=CN=CC=C2)O,SDOVHKUEMQAISV-UHFFFAOYSA-N,CYP51A1,Q16850,6.397940009
CC1=C(C(=C(C=C1O[C@H]2CCN(C2)CC3=CC=CC=C3)F)S(=O)(=O)NC4=CSC=N4)F,MIKRXKNNZKPCCK-INIZCTEOSA-N,SCN8A,Q9UQD0,6.482804102
CC(C)C[C@H](C(=O)OC)NC(=O)C1=CC2=C(C=C1)OCO2,LSWZFWPMIOHBFY-LLVKDONJSA-N,TAS1R1,Q7RTX1,6.055517328
COC1=CC2=C(C=C1)C3(CCN(C2)CC3)C4=CC=C(C=C4)Cl,CSAJSGHGBPMKBX-UHFFFAOYSA-N,SLC6A3,Q01959,7.283996656
C1CC(C1)C2=C(C(=C(C=C2)C3=CN=C(C=N3)N)F)OC4=NC(=NC=C4)C(F)(F)F,VPIUNAJVIUIADA-UHFFFAOYSA-N,ALOX5AP,P20292,8.522878745
C[C@H]1[C@H](OC(=O)N1CC2=NC(=NC=C2C3=C(C=CC(=C3)C4=C(C=C(C=C4)C(=O)O)C)OC)N(C)C)C5=CC(=CC(=C5)Cl)C(F)(F)F,DXCYJSRQLLRENH-YRVHBCJASA-N,KCNH2,Q12809,4.698970004
C1=CC(=CC(=C1)O)C2=NC3=C(N=C(N=C3N=C2C4=CC(=CC=C4)O)N)N,UJIAQDJKSXQLIT-UHFFFAOYSA-N,SRPRA,P08240,4.522878745
C[C@H](C1=CC=CC=C1)N2CCC(CC2)OC3=CC(=C(C=C3Cl)S(=O)(=O)NC4=CSC=N4)F,PNFLMUWDTCSMFS-OAHLLOKOSA-N,SCN1A,P35498,5
CC1=NN2C3=C(CCN(C3C4=C(C=C(S4)C(=O)NC)F)C(=O)COC5=C(N=C(C=C5)N6CCOCC6)Cl)N=C2S1,HLYCBFHDPYRKBY-UHFFFAOYSA-N,TPH1,P17752,8.301029996
